_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture
5c36621bf9af8b4639a8e0b4,0001,"Wed, 05 Sep 2018 11:04:13 GMT","Wed, 05 Sep 2018 19:09:35 GMT",,9.583,1_1_179_800_2018-09-05 11:04:12.876087,0001,AG-3F32,1-1-179-800,America/Los_Angeles,,,,,,,,,
,,,,,,,,,,,333.0,,400.0,8.0,20.0,277.0,"Wed, 05 Sep 2018 11:08:31 GMT",True,"Wed, 05 Sep 2018 15:45:09 GMT"
,,,,,,,,,,,333.0,,400.0,8.0,20.0,294.0,"Wed, 05 Sep 2018 11:25:51 GMT",True,"Wed, 05 Sep 2018 16:02:09 GMT"
,,,,,,,,,,,333.0,,400.0,8.0,20.0,343.0,"Wed, 05 Sep 2018 12:14:30 GMT",True,"Wed, 05 Sep 2018 16:51:09 GMT"
,,,,,,,,,,,333.0,,400.0,8.0,20.0,421.0,"Wed, 05 Sep 2018 13:32:58 GMT",True,"Wed, 05 Sep 2018 18:09:09 GMT"
,,,,,,,,,,,371.0,,400.0,8.0,20.0,60.0,"Wed, 05 Sep 2018 12:35:16 GMT",True,"Wed, 05 Sep 2018 13:35:14 GMT"
,,,,,,,,,,,371.0,,400.0,40.0,100.0,60.0,"Wed, 05 Sep 2018 12:36:02 GMT",True,"Wed, 05 Sep 2018 13:35:14 GMT"
,,,,,,,,,,,371.0,,400.0,40.0,100.0,643.0,"Wed, 05 Sep 2018 13:11:57 GMT",True,"Wed, 05 Sep 2018 23:18:14 GMT"
,,,,,,,,,,,371.0,,400.0,40.0,100.0,643.0,"Wed, 05 Sep 2018 13:12:23 GMT",True,"Wed, 05 Sep 2018 23:18:14 GMT"
,,,,,,,,,,,371.0,,400.0,40.0,100.0,643.0,"Wed, 05 Sep 2018 13:12:44 GMT",True,"Wed, 05 Sep 2018 23:18:14 GMT"
,,,,,,,,,,,371.0,,600.0,24.0,40.0,643.0,"Wed, 05 Sep 2018 13:16:35 GMT",True,"Wed, 05 Sep 2018 23:18:14 GMT"
,,,,,,,,,,,405.0,,600.0,12.0,20.0,583.0,"Wed, 05 Sep 2018 12:52:29 GMT",True,"Wed, 05 Sep 2018 22:34:31 GMT"
,,,,,,,,,,,405.0,,600.0,18.0,30.0,590.0,"Wed, 05 Sep 2018 12:59:15 GMT",True,"Wed, 05 Sep 2018 22:41:31 GMT"
,,,,,,,,,,,405.0,,600.0,18.0,30.0,598.0,"Wed, 05 Sep 2018 13:07:26 GMT",True,"Wed, 05 Sep 2018 22:49:31 GMT"
,,,,,,,,,,,405.0,,400.0,12.0,30.0,598.0,"Wed, 05 Sep 2018 13:08:40 GMT",True,"Wed, 05 Sep 2018 22:49:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,613.0,"Wed, 05 Sep 2018 13:24:20 GMT",True,"Wed, 05 Sep 2018 23:04:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,615.0,"Wed, 05 Sep 2018 13:29:41 GMT",True,"Wed, 05 Sep 2018 23:06:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,615.0,"Wed, 05 Sep 2018 15:42:56 GMT",True,"Wed, 05 Sep 2018 23:06:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,615.0,"Wed, 05 Sep 2018 16:46:59 GMT",True,"Wed, 05 Sep 2018 23:06:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,530.0,"Wed, 05 Sep 2018 17:46:05 GMT",True,"Wed, 05 Sep 2018 21:41:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,580.0,"Wed, 05 Sep 2018 17:46:44 GMT",True,"Wed, 05 Sep 2018 22:31:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,580.0,"Wed, 05 Sep 2018 19:37:52 GMT",True,"Wed, 05 Sep 2018 22:31:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,494.0,"Wed, 05 Sep 2018 21:09:56 GMT",True,"Wed, 05 Sep 2018 21:05:31 GMT"
,,,,,,,,,,,405.0,,500.0,10.0,20.0,576.0,"Wed, 05 Sep 2018 21:10:15 GMT",True,"Wed, 05 Sep 2018 22:27:31 GMT"
,,,,,,,,,,,368.0,,400.0,8.0,20.0,119.0,"Wed, 05 Sep 2018 13:08:48 GMT",True,"Wed, 05 Sep 2018 15:07:28 GMT"
,,,,,,,,,,,368.0,,400.0,8.0,20.0,119.0,"Wed, 05 Sep 2018 13:10:54 GMT",True,"Wed, 05 Sep 2018 15:07:28 GMT"
,,,,,,,,,,,368.0,,400.0,8.0,20.0,608.0,"Wed, 05 Sep 2018 13:11:26 GMT",True,"Wed, 05 Sep 2018 23:16:28 GMT"
,,,,,,,,,,,368.0,,400.0,8.0,20.0,608.0,"Wed, 05 Sep 2018 13:36:15 GMT",True,"Wed, 05 Sep 2018 23:16:28 GMT"
,,,,,,,,,,,334.0,,400.0,20.0,50.0,569.0,"Wed, 05 Sep 2018 13:10:45 GMT",True,"Wed, 05 Sep 2018 22:39:14 GMT"
,,,,,,,,,,,334.0,,400.0,20.0,50.0,727.0,"Wed, 05 Sep 2018 15:48:59 GMT",True,"Thu, 06 Sep 2018 01:17:14 GMT"
,,,,,,,,,,,322.0,,250.0,5.0,20.0,60.0,"Wed, 05 Sep 2018 13:23:51 GMT",True,"Wed, 05 Sep 2018 14:23:45 GMT"
,,,,,,,,,,,322.0,,250.0,10.0,40.0,60.0,"Wed, 05 Sep 2018 13:24:19 GMT",True,"Wed, 05 Sep 2018 14:23:45 GMT"
,,,,,,,,,,,322.0,,250.0,7.5,30.0,60.0,"Wed, 05 Sep 2018 13:26:27 GMT",True,"Wed, 05 Sep 2018 14:23:45 GMT"
,,,,,,,,,,,356.0,,200.0,10.0,50.0,435.0,"Wed, 05 Sep 2018 13:24:37 GMT",True,"Wed, 05 Sep 2018 20:39:06 GMT"
,,,,,,,,,,,356.0,,200.0,2.0,10.0,435.0,"Wed, 05 Sep 2018 15:58:10 GMT",True,"Wed, 05 Sep 2018 20:39:06 GMT"
